index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,impactful,neutral
0,OnnMacMahal,Aug 30 2022,long-cooldown,neutral
0,OnnMacMahal,Aug 30 2022,skills,neutral
0,OnnMacMahal,Aug 30 2022,others,neutral
0,OnnMacMahal,Aug 30 2022,classes,neutral
0,OnnMacMahal,Aug 30 2022,specializations,neutral
0,OnnMacMahal,Aug 30 2022,still,neutral
0,OnnMacMahal,Aug 30 2022,benefit,neutral
0,OnnMacMahal,Aug 30 2022,new,neutral
0,OnnMacMahal,Aug 30 2022,Call,neutral
0,OnnMacMahal,Aug 30 2022,Greatness,neutral
0,OnnMacMahal,Aug 30 2022,effect,neutral
0,OnnMacMahal,Aug 30 2022,others,neutral
0,OnnMacMahal,Aug 30 2022,better,neutral
0,OnnMacMahal,Aug 30 2022,parity,neutral
0,OnnMacMahal,Aug 30 2022,overall,neutral
0,OnnMacMahal,Aug 30 2022,certainly,neutral
0,OnnMacMahal,Aug 30 2022,willing,neutral
0,OnnMacMahal,Aug 30 2022,look,neutral
0,OnnMacMahal,Aug 30 2022,outliers,neutral
0,OnnMacMahal,Aug 30 2022,going,neutral
0,OnnMacMahal,Aug 30 2022,forward.While,neutral
0,OnnMacMahal,Aug 30 2022,Dissonance,neutral
0,OnnMacMahal,Aug 30 2022,Resonance,neutral
0,OnnMacMahal,Aug 30 2022,clear,neutral
0,OnnMacMahal,Aug 30 2022,benefits,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,never,neutral
0,OnnMacMahal,Aug 30 2022,strong,neutral
0,OnnMacMahal,Aug 30 2022,identity,neutral
0,OnnMacMahal,Aug 30 2022,making,neutral
0,OnnMacMahal,Aug 30 2022,changes,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,line,neutral
0,OnnMacMahal,Aug 30 2022,wanted,neutral
0,OnnMacMahal,Aug 30 2022,strengthen,neutral
0,OnnMacMahal,Aug 30 2022,identity,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
